family,topk,sample_idx,conf_orig,conf_after_del,conf_drop
resnet18_cbam,0.05,23363,0.999933123588562,0.9998511075973511,8.20159912109375e-05
resnet18_cbam,0.1,23363,0.999933123588562,0.9998511075973511,8.20159912109375e-05
resnet18_cbam,0.2,23363,0.999933123588562,0.9989238381385803,0.0010092854499816895
resnet18_cbam,0.05,18777,0.9994251728057861,0.998627781867981,0.0007973909378051758
resnet18_cbam,0.1,18777,0.9994251728057861,0.9871938824653625,0.012231290340423584
resnet18_cbam,0.2,18777,0.9994251728057861,0.9693813323974609,0.030043840408325195
resnet18_cbam,0.05,11832,0.8846816420555115,0.8318707346916199,0.0528109073638916
resnet18_cbam,0.1,11832,0.8846816420555115,0.861568808555603,0.023112833499908447
resnet18_cbam,0.2,11832,0.8846816420555115,0.9994301199913025,-0.11474847793579102
resnet18_cbam,0.05,28618,0.9996274709701538,0.9994183778762817,0.0002090930938720703
resnet18_cbam,0.1,28618,0.9996274709701538,0.9994183778762817,0.0002090930938720703
resnet18_cbam,0.2,28618,0.9996274709701538,0.9966213703155518,0.0030061006546020508
resnet18_cbam,0.05,22858,0.9999326467514038,0.9999229907989502,9.655952453613281e-06
resnet18_cbam,0.1,22858,0.9999326467514038,0.999909520149231,2.3126602172851562e-05
resnet18_cbam,0.2,22858,0.9999326467514038,0.9969310164451599,0.0030016303062438965
resnet18_cbam,0.05,511,0.9995012283325195,0.9988493919372559,0.0006518363952636719
resnet18_cbam,0.1,511,0.9995012283325195,0.9971979856491089,0.0023032426834106445
resnet18_cbam,0.2,511,0.9995012283325195,0.9541898369789124,0.04531139135360718
resnet18_cbam,0.05,29736,0.9998242259025574,0.9997549653053284,6.92605972290039e-05
resnet18_cbam,0.1,29736,0.9998242259025574,0.999448835849762,0.00037539005279541016
resnet18_cbam,0.2,29736,0.9998242259025574,0.9947693943977356,0.005054831504821777
resnet18_cbam,0.05,33474,0.9998596906661987,0.9998175501823425,4.214048385620117e-05
resnet18_cbam,0.1,33474,0.9998596906661987,0.9997444748878479,0.00011521577835083008
resnet18_cbam,0.2,33474,0.9998596906661987,0.9989450573921204,0.0009146332740783691
resnet18_cbam,0.05,25573,0.9758053421974182,0.9772220253944397,-0.0014166831970214844
resnet18_cbam,0.1,25573,0.9758053421974182,0.9778770804405212,-0.0020717382431030273
resnet18_cbam,0.2,25573,0.9758053421974182,0.36550578474998474,0.6102995574474335
resnet18_cbam,0.05,4312,0.9999598264694214,0.9999587535858154,1.0728836059570312e-06
resnet18_cbam,0.1,4312,0.9999598264694214,0.9999607801437378,-9.5367431640625e-07
resnet18_cbam,0.2,4312,0.9999598264694214,0.9999610185623169,-1.1920928955078125e-06
resnet18_cbam,0.05,24225,0.998816728591919,0.9986841082572937,0.00013262033462524414
resnet18_cbam,0.1,24225,0.998816728591919,0.9987951517105103,2.1576881408691406e-05
resnet18_cbam,0.2,24225,0.998816728591919,0.8628251552581787,0.13599157333374023
