family,sample_idx,deletion_auc,insertion_auc
densenet121,4087,0.6589457878529826,0.6405630429511053
densenet121,4110,0.6088207623286069,0.5813004417660161
densenet121,1627,0.46955607966518625,0.35633939146105814
densenet121,10935,0.4053457695449084,0.2640610507668105
densenet121,4606,0.5780488437765504,0.6644603594822398
densenet121,4164,0.6702460203982109,0.6213842627036794
densenet121,26687,0.9263092592373141,0.8844986304648046
densenet121,4169,0.283285506179014,0.42844149575442814
densenet121,4605,0.7090137188932087,0.6585436397185249
densenet121,10918,0.4308229741429184,0.5073045068288117
densenet121,20030,0.6267347164275847,0.6381902540739804
densenet121,29752,0.3340780950430593,0.3251251878204933
densenet121,25340,0.1283213802512162,0.09480067198921521
densenet121,994,0.019870314417890788,0.01858263315375996
densenet121,25590,0.1677678205627234,0.16629878654974356
densenet121,19770,0.22407793978368729,0.22525697272423717
densenet121,3534,0.3239104541630457,0.3237988823539617
densenet121,19860,0.07811413950481425,0.10155587361513954
densenet121,25599,0.23193370301964372,0.23764223696722703
densenet121,19849,0.18103565596603347,0.1847371697086276
densenet121,25604,0.12770377402258257,0.1267361830902124
densenet121,3628,0.25922572127070953,0.26968929869819536
densenet121,24624,0.06807216068887943,0.07004409303987799
densenet121,19741,0.2972705970903198,0.2759366855373305
densenet121,19783,0.22375147054063133,0.22262440161927102
densenet121,14473,0.13490342647270698,0.14987406485487406
densenet121,34331,0.2911151730886744,0.2793669851822812
densenet121,33036,0.1216622057269219,0.1348067491884403
densenet121,25277,0.16673766013828556,0.14416705540461172
densenet121,7807,0.3338772669240906,0.3238398879857137
densenet121,25320,0.2324963775450035,0.22627630996898285
densenet121,527,0.27358812057110043,0.26196220343616866
vit_tiny,11598,0.8134158367611235,0.5031031191429065
vit_tiny,8612,0.5185964199317823,0.6436237336274644
vit_tiny,32384,0.7001506726992375,0.5159181009003078
vit_tiny,22088,0.6886285496730125,0.5094993068341864
vit_tiny,1258,0.33751744303572195,0.7385903520626016
vit_tiny,3882,0.15401888272997866,0.29890658523377667
vit_tiny,26021,0.2590334146434543,0.24872221497207647
vit_tiny,28706,0.7385293616243871,0.8225157502602087
vit_tiny,12774,0.845353731951036,0.876002925549983
vit_tiny,20577,0.7458209862961667,0.8719841765851015
vit_tiny,20069,0.7049159712041728,0.7801427306985715
vit_tiny,22989,0.6969254705181811,0.5284658822201891
vit_tiny,19017,0.7765313992858864,0.8409044575528242
vit_tiny,31697,0.6820338654943043,0.795613382346346
vit_tiny,23363,0.7537001310629421,0.373161203435302
vit_tiny,18777,0.5102991190142347,0.6990756886734744
vit_tiny,11832,0.5439482434740057,0.5823209414120356
vit_tiny,28618,0.6209430388189503,0.6859187658992596
vit_tiny,22858,0.7897175200050697,0.9295191885757959
vit_tiny,511,0.18037673454637115,0.16382031922421447
vit_tiny,29736,0.7138640865596244,0.906634155093343
vit_tiny,33474,0.7551421013631625,0.8308094308886211
vit_tiny,25573,0.6328319603562704,0.7655702543706866
vit_tiny,4312,0.3604978419307656,0.4476308461779013
vit_tiny,24225,0.43568241534939034,0.2167210476138166
vit_tiny,5114,0.1563641005174361,0.09186620503193055
vit_tiny,107,0.7513054494629614,0.18803959551723892
vit_tiny,10443,0.08483054635439657,0.1822550214437797
vit_tiny,5117,0.25613643336902214,0.24455378058695487
vit_tiny,27764,0.15822016121529714,0.24843360845312645
vit_tiny,31588,0.33558689749077075,0.41501382470625003
vit_tiny,5131,0.2213607054668003,0.4939492384891615
vit_tiny,1761,0.32263564762706665,0.07987273651923488
vit_tiny,34288,0.39778509867877787,0.16382568568409894
vit_tiny,26309,0.023692503513302654,0.15484921703597365
vit_tiny,21752,0.3659818110911992,0.5038390809594198
vit_tiny,20801,0.40654952634179153,0.3728066262497691
vit_tiny,17666,0.6309321209337213,0.4594238732861413
vit_tiny,16706,0.17271664944553322,0.24255857500531874
vit_tiny,6553,0.31694817278116716,0.3933197918938731
vit_tiny,18583,0.497709232575005,0.32453255906540335
vit_tiny,20787,0.3014339438046818,0.2649830472276449
vit_tiny,33870,0.7938928515541193,0.811250739658135
vit_tiny,19563,0.4147690808254083,0.5659146026987685
vit_tiny,2399,0.854006631083351,0.8582880328064526
vit_tiny,4407,0.5231235689038023,0.428459024928852
vit_tiny,2272,0.8182265817826568,0.7763381134573386
vit_tiny,2489,0.808499971221039,0.844040928333893
vit_tiny,1496,0.8291802002356405,0.8627987550848779
vit_tiny,2232,0.7702855690302925,0.8400228074194551
vit_tiny,2415,0.8154495570717764,0.8246709496268174
vit_tiny,2382,0.8137342618261059,0.8699867229999221
vit_tiny,2510,0.714503126091369,0.7874823823572505
vit_tiny,19664,0.8053554043964439,0.8185870485677178
vit_tiny,2740,0.8270469745575433,0.8020819658087639
vit_tiny,4872,0.8340887086710289,0.8945237717974059
vit_tiny,4574,0.7468532339869576,0.6613703819536276
vit_tiny,4029,0.8663175672387062,0.6953394954063974
vit_tiny,18720,0.8040514878368334,0.5044407622163014
vit_tiny,1514,0.8587491443761479,0.8823354326932922
vit_tiny,1550,0.7996813665292208,0.8230678662628002
vit_tiny,4564,0.7147068766763276,0.8033833333630689
vit_tiny,4498,0.6424186834537586,0.7400494426966979
vit_tiny,1557,0.809705691704302,0.814212562486869
vit_tiny,2195,0.8423571258025468,0.8529338437561869
vit_tiny,2545,0.743193979287291,0.7843964907756025
vit_tiny,12693,0.6803008783099358,0.8773887564602774
vit_tiny,4750,0.5279639991022123,0.709569050486607
vit_tiny,18268,0.2211120931951882,0.6548794234577144
vit_tiny,18844,0.12552554435706043,0.22558283950274927
vit_tiny,29937,0.3319350468268567,0.5989428097991549
vit_tiny,1367,0.6225221654312918,0.7401999043177057
vit_tiny,26201,0.45383310937381793,0.4855658785754713
vit_tiny,7843,0.13322660830726818,0.31683662354407716
vit_tiny,25933,0.7706679854964023,0.7488200881780358
vit_tiny,7777,0.4688367881940394,0.3893618565041379
vit_tiny,3199,0.6868980509098037,0.2835990253631735
vit_tiny,1633,0.8732004746198072,0.5865432379214326
vit_tiny,5569,0.10767714641920634,0.11264481644072077
vit_tiny,32022,0.5533238986258766,0.5579677140267449
vit_tiny,4352,0.22437222877761087,0.34240153074722457
vit_tiny,5398,0.19918057367419806,0.09175112939300334
vit_tiny,1836,0.7762757709715515,0.11857528402435946
vit_tiny,6819,0.28593276002175116,0.2753010455776348
vit_tiny,30428,0.2789946213088115,0.15927096036739385
vit_tiny,11121,0.38977486260228034,0.19395987421557948
vit_tiny,34333,0.7393861184245907,0.6633696338822119
vit_tiny,11558,0.06070566354026141,0.06617278687303951
vit_tiny,15095,0.22547685813873386,0.23516065266531427
vit_tiny,5482,0.3127564264851799,0.3788577475591808
vit_tiny,27612,0.6947359989025017,0.2860622814041278
